,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Region,3+DTaP¥,4+DTaP‡,3+Polio§,1+MMRll,3+Hib¶,Hib-PS**,Hib-FS††,3+HepB‡‡,Hep B Birth dose§§,1+Varllll,3+PCV¶¶,4+PCV***,2+HepA†††,Rotavirus‡‡‡,4:3:1§§§,4:3:1:3llllll,4:3:1:3-PS¶¶¶,4:3:1:4-FS****,4:3:1:3:3:1€,4:3:1:0:3:1?,4:3:1:3:3:1-PS€€,4:3:1:4:3:1-FS??,4:3:1:3:3:1:4€€€,4:3:1:0:3:1:4???,4:3:1:3:3:1:4-PS€€€€,4:3:1:4:3:1:4-FS????
Washington,93.2±3.0,81.9±4.9,92.0±3.2,89.8±3.6,90.9±3.4,91.3±3.3,63.9±5.7,90.8±3.3,77.3±4.9,85.7±4.1,91.6±3.3,82.9±4.4,44.9±6.0,50.4±5.9,80.3±5.0,79.6±5.0,79.6±5.0,60.7±5.8,73.7±5.4,74.0±5.4,73.7±5.4,57.2±5.9,70.9±5.5,71.2±5.5,70.9±5.5,55.7±5.9
WA-Eastern WA,93.3±3.7,83.5±5.8,90.7±4.6,89.2±4.7,90.9±4.6,90.9±4.6,67.0±7.1,92.4±3.9,76.0±6.5,87.6±5.0,92.4±4.0,83.6±5.8,50.2±7.7,49.5±7.7,81.9±5.9,81.7±5.9,81.7±5.9,63.0±7.3,79.1±6.1,79.1±6.1,79.1±6.1,60.6±7.4,73.7±6.7,73.7±6.7,73.7±6.7,57.9±7.5
WA-Western WA,93.1±3.7,81.3±6.2,92.4±3.9,90.0±4.5,90.9±4.2,91.4±4.1,63.0±7.2,90.3±4.2,77.7±6.1,85.1±5.2,91.4±4.2,82.7±5.5,43.3±7.5,50.7±7.4,79.7±6.3,78.9±6.3,78.9±6.3,59.9±7.3,72.0±6.8,72.3±6.8,72.0±6.8,56.1±7.4,70.0±6.9,70.4±6.9,70.0±6.9,55.0±7.4
West Virginia,97.8±1.8,83.1±4.8,93.9±3.1,92.0±3.4,93.6±3.0,94.0±2.9,60.3±6.5,95.0±2.8,66.7±5.9,88.6±4.0,93.6±3.2,74.3±5.9,54.0±6.5,51.0±6.5,80.6±5.1,78.6±5.2,79.0±5.2,56.3±6.5,73.0±5.7,74.9±5.6,73.4±5.7,51.3±6.5,62.6±6.3,64.1±6.3,63.0±6.3,47.7±6.5
Wisconsin,93.9±3.5,88.8±4.7,91.5±3.9,93.2±3.3,91.1±4.0,92.7±3.8,76.6±5.7,91.9±3.6,61.4±6.9,91.5±3.7,93.1±3.6,88.4±4.9,52.1±7.0,64.7±6.9,86.5±4.9,84.0±5.2,85.6±5.1,72.5±6.2,81.7±5.3,84.3±5.1,83.3±5.2,70.4±6.2,80.1±5.5,82.7±5.2,81.7±5.4,69.7±6.2
Wyoming,96.1±2.8,82.0±5.8,94.8±3.0,92.5±3.6,90.6±4.9,92.9±4.5,69.0±7.5,93.6±3.6,58.4±7.3,85.0±5.1,93.0±3.4,79.6±6.2,33.5±6.8,53.5±7.5,79.3±6.1,76.5±6.3,78.8±6.1,60.9±7.7,67.5±7.0,70.1±6.8,69.8±6.9,54.4±7.8,62.1±7.4,64.7±7.3,64.4±7.4,52.0±7.8
U.S. Virgin Islands,85.4±5.8,62.5±8.2,81.5±6.4,72.6±7.8,74.6±6.9,74.8±6.9,50.2±8.4,82.6±6.5,77.7±7.2,72.4±7.7,78.0±6.6,57.0±8.2,14.0±6.1,19.8±7.5,60.1±8.3,52.0±8.4,52.0±8.4,41.6±8.4,48.5±8.2,56.1±8.2,48.5±8.2,38.7±8.0,43.7±8.2,45.6±8.2,43.7±8.2,37.1±8.0
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
