Region,3+DTaP¶,4+DTaP**,3+Polio††,1+MMR§§,3+Hib¶¶,Hib-PS***,Hib-FS†††,3+HepB§§§,HepB Birth dose¶¶¶,1+Var****,3+PCV††††,4+PCV§§§§,1+HepA¶¶¶¶,2+HepA*****,Rotavirus†††††,4:3:1§§§§§,4:3:1:3¶¶¶¶¶,4:3:1:3-PS******,4:3:1:4-FS††††††,4:3:1:3:3§§§§§§,4:3:1:3:3-PS¶¶¶¶¶¶,4:3:1:4:3-FS*******,4:3:1:3:3:1†††††††,4:3:1:0:3:1§§§§§§§,4:3:1:3:3:1-PS¶¶¶¶¶¶¶,4:3:1:4:3:1-FS********,4:3:1:3:3:1:4††††††††,4:3:1:0:3:1:4§§§§§§§§,4:3:1:3:3:1:4-PS¶¶¶¶¶¶¶¶,4:3:1:4:3:1:4-FS*********
TX-El Paso County,90.8±4.5,76.7±6.1,88.6±4.8,93.7±3.3,90.1±4.6,90.8±4.5,79.6±5.8,87.3±5.0,74.5±6.2,94.0±3.3,92.6±4.1,82.3±5.5,93.3±3.4,64.8±6.8,70.6±6.7,76.6±6.1,76.6±6.1,76.6±6.1,74.4±6.3,73.2±6.4,73.2±6.4,71.0±6.6,73.2±6.4,73.2±6.4,73.2±6.4,71.0±6.6,71.4±6.5,71.4±6.5,71.4±6.5,69.7±6.6
TX-Rest of State,95.0±2.7,81.4±5.7,90.7±4.2,92.7±3.5,94.5±2.8,94.5±2.8,82.1±5.7,88.8±4.3,82.7±4.8,93.9±3.0,93.3±3.3,82.6±5.6,90.0±4.1,63.9±6.7,73.5±6.6,79.7±5.8,79.4±5.9,79.4±5.9,77.6±5.9,75.5±6.2,75.5±6.2,74.0±6.2,75.2±6.2,75.5±6.2,75.2±6.2,73.6±6.2,73.5±6.3,73.5±6.3,73.5±6.3,72.0±6.3
Utah,96.2±2.4,90.3±4.1,95.1±2.8,92.6±3.6,94.5±2.9,94.7±2.9,84.9±5.2,89.7±4.3,81.2±5.5,93.6±3.3,94.6±3.0,89.6±4.3,94.4±3.1,67.6±6.8,78.3±5.8,87.4±4.7,87.0±4.8,87.0±4.8,81.4±5.7,81.9±5.5,81.9±5.5,76.2±6.1,80.5±5.6,80.9±5.6,80.5±5.6,75.5±6.1,78.6±5.9,78.6±5.9,78.6±5.9,75.2±6.1
Vermont,96.7±2.7,85.8±5.1,95.1±3.1,91.2±4.0,92.7±4.1,92.7±4.1,83.5±5.3,92.0±3.6,44.8±6.8,85.8±4.9,92.2±4.2,82.4±5.7,76.3±5.7,48.5±6.8,73.4±6.1,81.4±5.6,79.6±5.9,79.6±5.9,75.6±6.1,76.9±6.0,76.9±6.0,72.9±6.2,73.3±6.2,75.1±6.0,73.3±6.2,70.2±6.4,69.2±6.5,69.2±6.5,69.2±6.5,66.9±6.6
Virginia,94.4±5.1,78.8±9.3,95.2±4.2,88.6±7.0,94.0±5.2,94.5±5.1,82.7±8.5,90.8±5.6,72.3±10.2,91.1±5.6,92.4±6.3,80.3±9.0,79.4±8.8,48.0±10.8,76.2±9.2,76.9±9.4,76.9±9.4,76.9±9.4,74.5±9.7,74.7±9.5,74.7±9.5,72.8±9.8,74.6±9.5,74.6±9.5,74.6±9.5,72.6±9.8,71.2±9.8,71.2±9.8,71.2±9.8,69.2±10.0
Washington,95.1±3.7,79.8±7.0,93.1±4.6,93.5±3.9,94.3±3.9,94.3±3.9,85.5±5.9,89.0±5.9,75.0±7.1,91.7±4.6,92.9±4.4,81.9±6.5,85.4±6.0,55.7±8.4,76.3±7.3,78.8±7.1,78.4±7.1,78.4±7.1,77.5±7.1,74.0±7.7,74.0±7.7,73.4±7.7,73.3±7.7,73.8±7.7,73.3±7.7,72.7±7.7,71.0±7.8,71.1±7.8,71.1±7.8,70.8±7.8
West Virginia,91.4±5.1,83.4±6.2,90.0±5.3,86.0±5.8,90.8±5.1,90.8±5.1,80.5±6.6,85.8±5.9,73.9±7.9,86.1±5.8,89.6±5.3,76.4±7.0,85.6±6.0,57.5±8.4,68.4±7.8,80.3±6.6,80.3±6.6,80.3±6.6,76.3±7.2,75.1±7.1,75.1±7.1,71.2±7.6,74.1±7.2,74.1±7.2,74.1±7.2,70.3±7.6,69.4±7.5,69.4±7.5,69.4±7.5,65.5±7.9
Wisconsin,96.1±2.8,84.0±6.1,93.8±3.7,93.2±4.2,92.6±4.2,95.6±3.2,82.0±6.4,94.4±3.1,80.5±6.0,91.9±4.4,92.9±3.9,82.6±6.3,84.1±5.4,63.2±7.5,73.6±6.9,81.9±6.3,81.6±6.3,81.9±6.3,77.7±6.8,80.5±6.4,80.8±6.4,76.6±6.9,79.7±6.5,80.0±6.5,80.0±6.5,75.9±6.9,75.7±6.8,75.7±6.8,75.7±6.8,72.8±7.1
Wyoming,93.1±4.3,80.9±6.6,90.9±5.1,89.0±5.4,90.7±5.2,91.6±5.0,79.9±6.8,88.9±5.5,67.0±8.0,90.8±5.0,93.2±4.1,81.0±6.7,63.6±7.8,33.6±7.6,65.7±8.0,78.6±6.8,77.5±7.0,77.5±7.0,75.3±7.2,74.6±7.4,74.6±7.4,72.6±7.5,74.0±7.4,75.1±7.2,74.0±7.4,72.0±7.5,70.1±7.7,71.3±7.6,70.1±7.7,70.0±7.7
Guam†††††††††,91.0±4.5,71.5±7.2,84.4±6.2,84.9±5.5,87.5±5.0,88.9±4.9,68.3±7.4,84.6±5.7,87.7±4.7,72.4±7.2,89.0±4.7,66.7±7.6,82.4±5.7,45.8±7.5,8.0±3.8,67.4±7.4,66.4±7.4,67.2±7.4,63.8±7.5,62.3±7.5,63.1±7.5,59.8±7.6,55.1±7.8,55.9±7.8,55.9±7.8,52.7±7.8,50.3±7.9,50.3±7.9,50.3±7.9,48.7±7.8
U.S. Virgin Islands§§§§§§§§§,67.8±8.3,51.1±8.8,65.0±8.5,59.0±8.7,64.3±8.5,67.5±8.3,47.0±8.8,69.8±8.1,78.5±6.6,61.7±8.6,62.3±8.6,44.6±8.7,46.1±8.8,18.6±6.5,23.7±7.8,47.9±8.7,46.9±8.7,47.9±8.7,41.9±8.6,45.9±8.7,46.8±8.7,40.9±8.6,45.5±8.7,46.5±8.7,46.5±8.7,40.5±8.6,39.7±8.6,39.8±8.6,39.8±8.6,37.5±8.5
